Product,Price
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Non-Spam
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Non-Spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ?.50 SP:Tyrone,Non-Spam
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Non-Spam
"URGENT! Your Mobile No. was awarded ?000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",Non-Spam
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,Non-Spam
You are a winner U have been specially selected 2 receive ?000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,Non-Spam
GENT! We are trying to contact you. Last weekends draw shows that you won a ?000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Non-Spam
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ?000 cash or ?000 prize!,Non-Spam
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",Non-Spam
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ?000. To claim txt DIS to 87121 18+6*?.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Non-Spam
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?500 Bonus Prize, call 09066364589",Spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",Non-Spam
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,Non-Spam
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,Non-Spam
Thanks for your subscription to Ringtone UK your mobile will be charged ?/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Non-Spam
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/?.20 POBOXox36504W45WQ 16+",Non-Spam
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",Non-Spam
"URGENT! You have won a 1 week FREE membership in our ?00,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Non-Spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",Non-Spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Spam
WINNER!! As a valued network customer you have been selected to receivea ?00 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,Non-Spam
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ?.50 to rcv",Non-Spam
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Non-Spam
Y de asking like this.,Non-Spam
We live in the next  &lt;#&gt; mins,Non-Spam
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,Non-Spam
"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",Non-Spam
