Product,Price
Portege X30-D-10J,1198.5553
Spectre 13-V100nv,1057.698
IdeaPad 310-15ABR,524.68445
IdeaPad Y700-15ISK,1365.4529
EliteBook 820,834.00183
Spectre x360,1100.729
ProBook 430,737.23364
IdeaPad 320-15ISK,400.5618
Omen 17-w212nv,1487.8253
15-bw000nv (E2-9000e/4GB/500GB/Radeon,300.2542
Yoga 720-15IKB,2375.6248
Vostro 5568,561.5285
XPS 13,1607.0944
Inspiron 3567,597.55054
ROG Strix,1696.1357
Yoga 520-14IKB,1060.9281
Envy 13-AB020nr,1628.0752
Vostro 5568,981.7073
Inspiron 5567,882.41187
Notebook 9,1728.3579
GT80S 6QE,1806.6233
X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,742.58545
Inspiron 5368,1274.0447
Smartbook 142,317.42386
Latitude 5490,1015.2876
Inspiron 7773,863.1837
Latitude 5580,673.5194
Latitude 5580,630.65564
EliteBook x360,1060.4686
Latitude 5580,1077.6703
Inspiron 3567,560.28046
Tecra Z40-C-136,1478.3163
Spectre Pro,1449.3542
Yoga 510-15IKB,826.0711
Satellite Pro,1203.9092
Aspire A515-51G,755.4131
IdeaPad 320-15IKB,706.7472
IdeaPad 320-15AST,529.87177
GE62 Apache,1407.9564
Chromebook 14,250.59045
Surface Laptop,1699.5441
IdeaPad 320-15IKBN,539.1079
TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),666.6698
IdeaPad Y900-17ISK,1761.576
Vostro 3568,662.86194
Latitude 5580,1226.4008
ZenBook Pro,1622.5697
Stream 14-AX001nv,312.17047
Vostro 5568,1024.9491
XPS 13,1241.6273
ThinkPad T470s,1056.9548
15-ba043na (A12-9700P/8GB/2TB/W10),501.1399
Mi Notebook,1003.6538
EliteBook 840,883.5415
Inspiron 3567,702.5023
ZenBook UX310UQ-GL026T,1135.054
Stream 14-AX000nv,312.17047
Inspiron 5379,1056.9454
UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),935.8163
IdeaPad Y700-15ISK,1365.4529
XPS 15,1771.5663
Aspire A515-51G,964.2103
V310-15ISK (i3-6006U/4GB/128GB/FHD/No,521.7554
Aspire A515-51G,801.06335
250 G6,301.46692
Rog Strix,1692.0966
15-bw009nv (A12-9720P/6GB/1TB/Radeon,543.4301
IdeaPad 320-15ABR,818.52466
Inspiron 5578,1115.2812
G701VO-IH74K (i7-6820HK/32GB/2x,2354.3674
ROG G701VI,2609.3616
Tecra A50-C-1ZV,1026.5197
Aspire A515-51G-32MX,493.33215
Probook 450,715.0968
Inspiron 3552,352.4616
IdeaPad 110-15ISK,403.6238
Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),710.56726
Precision 3520,2601.7
GS70 Stealth,1674.5011
Notebook 9,1392.8737
Omen 17-W006na,1312.1947
Chromebook 13,708.7925
Spin SP111-31,418.1809
Vostro 3568,808.65454
L403NA-GA013TS (N3350/4GB/32GB/W10),313.87885
Alienware 15,1399.651
17-ak001nv (A6-9220/4GB/500GB/Radeon,422.50226
Rog G701VIK-BA060T,2054.547
Legion Y520-15IKBN,1137.6031
IdeaPad 320-15IKB,719.38074
"MacBook 12""",1648.8429
IdeaPad Y900-17ISK,2417.9363
Legion Y520-15IKBN,1088.8563
ProBook 430,905.4935
Thinkpad T470p,1171.6073
Aspire 3,387.44525
Vostro 5468,1021.49725
ProBook 450,692.91003
Inspiron 5567,616.6085
ProBook 440,903.5676
15-rb013nv (E2-9000e/4GB/500GB/W10),278.62613
IdeaPad 320-15IKBN,508.1045
Vostro 3568,753.23895
Spectre Pro,1789.1304
Mi Notebook,999.66235
Inspiron 3567,597.55054
FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,1313.1215
Satellite Pro,594.2071
Thinkpad T570,1271.672
FlexBook Edge,387.4261
Q534UX-BHI7T19 (i7-7500U/16GB/2TB,1949.0319
ProBook 650,1466.1678
Inspiron 5577,1421.8617
GT73VR Titan,2110.3916
R417NA-RS01 (N3350/4GB/32GB/W10),315.96515
GS73VR 7RG,1609.5979
Yoga 900-13ISK,1408.7021
EliteBook 1040,1664.5946
Aspire A715-71G,903.8755
Inspiron 5570,641.39233
Blade Pro,4092.1316
ProBook 650,953.0595
Inspiron 5570,816.731
Zenbook UX510UW-FI095T,1778.7894
IdeaPad Y700-15ISK,1225.1205
X751NV-TY001T (N4200/4GB/1TB/GeForce,400.77704
Latitude 5480,955.6901
Inspiron 3567,695.9157
Omen 17-W295,1717.987
Pavilion 15-CK000nv,1377.7145
Probook 470,1396.3936
Inspiron 3567,560.2805
Legion Y520-15IKBN,1386.878
XPS 13,1234.1332
ZenBook UX305CA-UBM1,1003.8513
Inspiron 3567,387.79126
GT62VR 7RE,1734.0969
IdeaPad 320-14IAP,283.26736
Inspiron 5770,1020.37427
15-AY023na (N3710/8GB/2TB/W10),365.95084
Vostro 3568,495.0497
Rog GL753VD-GC042T,1268.4507
Inspiron 7577,1247.9946
ProBook 470,666.12524
Latitude 5580,1020.2897
MacBook Pro,1674.691
Inspiron 5578,1629.9877
Inspiron 3552,378.87567
X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,809.83765
ProBook 470,723.5574
GS43VR 7RE,1703.1422
Aspire E5-576G,574.6155
E402WA-GA010T (E2-6110/2GB/32GB/W10),245.53249
Rog GL753VE-DS74,1326.6621
Latitude 5580,1154.0441
Latitude 5580,1257.8658
XPS 13,1234.1332
Surface Laptop,1243.2751
Nitro AN515-51,1232.9979
VivoBook Flip,356.20612
Latitude 7480,1017.562
ProBook 450,841.56165
Yoga 500-15ISK,1216.1335
ZBook 17,1817.2821
Thinkpad P51,5449.0664
PL60 7RD,1159.3416
EliteBook 840,1853.0237
Inspiron 3567,784.1968
Probook 440,698.8784
15-BS103nv (i5-8250U/6GB/256GB/Radeon,784.7433
SmartBook Edge,352.37003
Portege X30-D-10K,1735.6458
15-cb003na (i5-7300HQ/8GB/1TB,1228.9603
Yoga 910-13IKB,1279.1776
250 G6,713.6887
Inspiron 3552,346.3813
Chromebook C202SA,265.82108
IdeaPad 310-15IKB,613.3346
Omen 17-w207nv,1730.7838
UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,1092.6259
IdeaPad 320-15ISK,589.13995
Probook 470,910.7028
Inspiron 3567,690.6365
Inspiron 5577,1111.825
Vostro 3559,961.751
IdeaPad 310-15ISK,628.255
Inspiron 3567,788.6421
Yoga 720-15IKB,1898.8407
